Time,name,time_range_one,max_1,min_1,average,time_range_two,max_2,min_2,time_range_three,max_3,min_3
2022-03-02,TARBELA,0100----2400,600,80,330.151515151515,0100----1600,420,80,1700---2400,560,260
2022-03-02,TARBELA.Ext.4,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-02,MANGLA,0100----2400,701,532,550.242424242424,0100----1600,612,532,1700---2400,701,532
2022-03-02,GHAZI.BROTHA,0100----2400,870,0,397.272727272727,0100----1600,870,0,1700---2400,870,0
2022-03-02,WARSAK,0100----2400,154,25,61.3030303030303,0100----1600,30,25,1700---2400,154,30
2022-03-02,CHASHMA,0100----2400,51,34,39.8181818181818,0100----1600,51,34,1700---2400,34,34
2022-03-02,JINNAH.HYDEL,0100----2400,28,9,15.969696969697,0100----1600,28,17,1700---2400,16,9
2022-03-02,ALLAI.KHWAR,0100----2400,121,0,38.2424242424242,0100----1600,0,0,1700---2400,121,30
2022-03-02,KHAN.KHWAR,0100----2400,38,14,26.3636363636364,0100----1600,14,14,1700---2400,38,38
2022-03-02,DUBAIR.KHWAR,0100----2400,35,0,22.2727272727273,0100----1600,35,0,1700---2400,35,0
2022-03-02,NEELUM.JEHLUM,0100----2400,121,0,91.0606060606061,0100----1600,121,0,1700---2400,120,0
2022-03-02,GOLEN.GOL,0100----2400,7,6,6.51515151515152,0100----1600,7,6,1700---2400,7,6
2022-03-02,JAMSHORO,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-02,KOTRI,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-02,LAKHRA,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-02,GUDDU...1.4,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-02,GUDDU...5.13,0100----2400,234.1444,191.841,228.569533333333,0100----1600,234.1444,191.841,1700---2400,234.1444,233.1606
2022-03-02,GUDDU.747,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-02,QUETTA,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-02,MUZAFFARGARH,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-02,MULTAN,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-02,GTPS.FAISALABAD,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
