name,peak_no,peak_values,Time
TARBELA,p1,185,3/2/2022 17:15
TARBELA,p2,300,3/2/2022 17:30
TARBELA,p3,340,3/2/2022 17:45
TARBELA,p4,600,3/2/2022 18:15
TARBELA,p5,520,3/2/2022 18:30
TARBELA,p6,520,3/2/2022 18:45
TARBELA,p7,540,3/2/2022 19:15
TARBELA,p8,500,3/2/2022 19:30
TARBELA,p9,480,3/2/2022 19:45
TARBELA.Ext.4,p1,0,3/2/2022 17:15
TARBELA.Ext.4,p2,0,3/2/2022 17:30
TARBELA.Ext.4,p3,0,3/2/2022 17:45
TARBELA.Ext.4,p4,0,3/2/2022 18:15
TARBELA.Ext.4,p5,0,3/2/2022 18:30
TARBELA.Ext.4,p6,0,3/2/2022 18:45
TARBELA.Ext.4,p7,0,3/2/2022 19:15
TARBELA.Ext.4,p8,0,3/2/2022 19:30
TARBELA.Ext.4,p9,0,3/2/2022 19:45
MANGLA,p1,701,3/2/2022 17:15
MANGLA,p2,621,3/2/2022 17:30
MANGLA,p3,532,3/2/2022 17:45
MANGLA,p4,532,3/2/2022 18:15
MANGLA,p5,532,3/2/2022 18:30
MANGLA,p6,532,3/2/2022 18:45
MANGLA,p7,532,3/2/2022 19:15
MANGLA,p8,532,3/2/2022 19:30
MANGLA,p9,532,3/2/2022 19:45
GHAZI.BROTHA,p1,580,3/2/2022 17:15
GHAZI.BROTHA,p2,580,3/2/2022 17:30
GHAZI.BROTHA,p3,580,3/2/2022 17:45
GHAZI.BROTHA,p4,870,3/2/2022 18:15
GHAZI.BROTHA,p5,870,3/2/2022 18:30
GHAZI.BROTHA,p6,870,3/2/2022 18:45
GHAZI.BROTHA,p7,580,3/2/2022 19:15
GHAZI.BROTHA,p8,580,3/2/2022 19:30
GHAZI.BROTHA,p9,580,3/2/2022 19:45
WARSAK,p1,154,3/2/2022 17:15
WARSAK,p2,154,3/2/2022 17:30
WARSAK,p3,154,3/2/2022 17:45
WARSAK,p4,154,3/2/2022 18:15
WARSAK,p5,154,3/2/2022 18:30
WARSAK,p6,154,3/2/2022 18:45
WARSAK,p7,90,3/2/2022 19:15
WARSAK,p8,60,3/2/2022 19:30
WARSAK,p9,60,3/2/2022 19:45
CHASHMA,p1,34,3/2/2022 17:15
CHASHMA,p2,34,3/2/2022 17:30
CHASHMA,p3,34,3/2/2022 17:45
CHASHMA,p4,34,3/2/2022 18:15
CHASHMA,p5,34,3/2/2022 18:30
CHASHMA,p6,34,3/2/2022 18:45
CHASHMA,p7,34,3/2/2022 19:15
CHASHMA,p8,34,3/2/2022 19:30
CHASHMA,p9,34,3/2/2022 19:45
JINNAH.HYDEL,p1,16,3/2/2022 17:15
JINNAH.HYDEL,p2,16,3/2/2022 17:30
JINNAH.HYDEL,p3,12,3/2/2022 17:45
JINNAH.HYDEL,p4,12,3/2/2022 18:15
JINNAH.HYDEL,p5,12,3/2/2022 18:30
JINNAH.HYDEL,p6,12,3/2/2022 18:45
JINNAH.HYDEL,p7,9,3/2/2022 19:15
JINNAH.HYDEL,p8,9,3/2/2022 19:30
JINNAH.HYDEL,p9,9,3/2/2022 19:45
ALLAI.KHWAR,p1,61,3/2/2022 17:15
ALLAI.KHWAR,p2,121,3/2/2022 17:30
ALLAI.KHWAR,p3,121,3/2/2022 17:45
ALLAI.KHWAR,p4,121,3/2/2022 18:15
ALLAI.KHWAR,p5,121,3/2/2022 18:30
ALLAI.KHWAR,p6,121,3/2/2022 18:45
ALLAI.KHWAR,p7,61,3/2/2022 19:15
ALLAI.KHWAR,p8,61,3/2/2022 19:30
ALLAI.KHWAR,p9,61,3/2/2022 19:45
KHAN.KHWAR,p1,38,3/2/2022 17:15
KHAN.KHWAR,p2,38,3/2/2022 17:30
KHAN.KHWAR,p3,38,3/2/2022 17:45
KHAN.KHWAR,p4,38,3/2/2022 18:15
KHAN.KHWAR,p5,38,3/2/2022 18:30
KHAN.KHWAR,p6,38,3/2/2022 18:45
KHAN.KHWAR,p7,38,3/2/2022 19:15
KHAN.KHWAR,p8,38,3/2/2022 19:30
KHAN.KHWAR,p9,38,3/2/2022 19:45
DUBAIR.KHWAR,p1,35,3/2/2022 17:15
